章节,篇名,原文,韻腳字,上古韻部
国风·召南,鵲巢,百兩御之。○,御,鐸
国风·召南,鵲巢,維鵲有巢，,,
国风·召南,鵲巢,維鳩方之。,方,陽
国风·召南,鵲巢,之子于歸，,,
国风·召南,鵲巢,百兩將之。○,將,陽
国风·召南,鵲巢,維鵲有巢，,,
国风·召南,鵲巢,維鳩盈之。,盈,耕
国风·召南,鵲巢,之子于歸，,,
国风·召南,鵲巢,百兩成之。○,成,耕
国风·召南,采蘩,于以采蘩？,,
国风·召南,采蘩,于沼于沚。,沚,之
国风·召南,采蘩,于以用之？,,
国风·召南,采蘩,公侯之事。○,事,之
国风·召南,采蘩,于以采蘩？,,
国风·召南,采蘩,于澗之中。,中,侵
国风·召南,采蘩,于以用之？,,
国风·召南,采蘩,公侯之宮。○,宮,侵
国风·召南,采蘩,被之僮僮，,僮,東
国风·召南,采蘩,夙夜在公。,公,東
国风·召南,采蘩,被之祁祁，,祁,脂
国风·召南,采蘩,薄言還歸。○,歸,微
国风·召南,草蟲,喓喓草蟲，,蟲,侵
国风·召南,草蟲,趯趯阜螽。,螽,侵
国风·召南,草蟲,未見君子，,子,之
国风·召南,草蟲,憂心忡忡。,忡,侵
国风·召南,草蟲,亦既見止，,止,之
国风·召南,草蟲,亦既覯止，,止,之
国风·召南,草蟲,我心則降！○,降,侵
国风·召南,草蟲,陟彼南山，,,
国风·召南,草蟲,言采其蕨。,蕨,月
国风·召南,草蟲,未見君子，,子,之
国风·召南,草蟲,憂心惙惙。,惙,月
国风·召南,草蟲,亦既見止，,止,之
国风·召南,草蟲,亦既覯止，,止,之
国风·召南,草蟲,我心則說！○,說,月
国风·召南,草蟲,陟彼南山，,,
国风·召南,草蟲,言采其薇。,薇,微
国风·召南,草蟲,未見君子，,子,之
国风·召南,草蟲,我心傷悲。,悲,微
国风·召南,草蟲,亦既見止，,止,之
国风·召南,草蟲,亦既覯止，,止,之
国风·召南,草蟲,我心則夷！○,夷,脂
国风·召南,采蘋,于以采蘋？,蘋,真
国风·召南,采蘋,南澗之濱。,濱,真
国风·召南,采蘋,于以采藻？,藻,宵
国风·召南,采蘋,于彼行潦。○,潦,宵
国风·召南,采蘋,于以盛之？,,
国风·召南,采蘋,維筐及筥。,筥,魚
国风·召南,采蘋,于以湘之？,,
国风·召南,采蘋,維錡及釜。○,釜,魚
国风·召南,采蘋,于以奠之？,,
国风·召南,采蘋,宗室牖下。,下,魚
国风·召南,采蘋,誰其尸之？,,
国风·召南,采蘋,有齊季女。○,女,魚
国风·召南,甘棠,蔽芾甘棠，,,
国风·召南,甘棠,勿翦勿伐。,伐,月
国风·召南,甘棠,召伯所茇！○,茇,月
国风·召南,甘棠,蔽芾甘棠，,,
国风·召南,甘棠,勿翦勿敗。,敗,月
国风·召南,甘棠,召伯所憩！○,憩,月
国风·召南,甘棠,蔽芾甘棠，,,
国风·召南,甘棠,勿翦勿拜。,拜,月
国风·召南,甘棠,召伯所說！○,說,月
国风·召南,行露,厭浥行露。,露,鐸
国风·召南,行露,豈不夙夜？,夜,鐸
国风·召南,行露,謂行多露！○,露,鐸
国风·召南,行露,誰謂雀無角？,角,屋
国风·召南,行露,何以穿我屋？,屋,屋
国风·召南,行露,誰謂女無家？,,
国风·召南,行露,何以速我獄？,獄,屋
国风·召南,行露,雖速我獄，,獄,屋
国风·召南,行露,室家不足！○,足,屋
国风·召南,行露,誰謂鼠無牙？,牙,魚
国风·召南,行露,何以穿我墉？,墉,東
国风·召南,行露,誰謂女無家？,家,魚
国风·召南,行露,何以速我訟？,訟,東
国风·召南,行露,雖速我訟，,訟,東
国风·召南,行露,亦不女從！○,從,東
国风·召南,羔羊,羔羊之皮，,皮,歌
国风·召南,羔羊,素絲五紽？,紽,歌
国风·召南,羔羊,退食自公，,,
国风·召南,羔羊,委蛇委蛇！○,蛇,歌
国风·召南,羔羊,羔羊之革，,革,職
国风·召南,羔羊,素絲五緎？,緎,職
国风·召南,羔羊,委蛇委蛇，,,
国风·召南,羔羊,自公退食。○,食,職
国风·召南,羔羊,羔羊之縫，,縫,東
国风·召南,羔羊,素絲五總？,總,東
国风·召南,羔羊,委蛇委蛇，,,
国风·召南,羔羊,退食自公。○,公,東
国风·召南,殷其雷,殷其雷，,,
国风·召南,殷其雷,在南山之陽。,陽,陽
国风·召南,殷其雷,何斯違斯，,,
国风·召南,殷其雷,莫敢或遑？,遑,陽
国风·召南,殷其雷,振振君子，,子,之
国风·召南,殷其雷,歸哉歸哉！○,哉,之
国风·召南,殷其雷,殷其雷，,,
国风·召南,殷其雷,在南山之側。,側,職
国风·召南,殷其雷,何斯違斯，,,
国风·召南,殷其雷,莫敢遑息？,息,職
国风·召南,殷其雷,振振君子，,子,之
国风·召南,殷其雷,歸哉歸哉！○,哉,之
国风·召南,殷其雷,殷其雷，,,
国风·召南,殷其雷,在南山之下。,下,魚
国风·召南,殷其雷,何斯違斯，,,
国风·召南,殷其雷,莫或遑處？,處,魚
国风·召南,殷其雷,振振君子，,子,之
国风·召南,殷其雷,歸哉歸哉！○,哉,之
国风·召南,摽有梅,摽有梅，,,
国风·召南,摽有梅,其實七兮。,七,質
国风·召南,摽有梅,求我庶士，,,
国风·召南,摽有梅,迨其吉兮！○,吉,質
国风·召南,摽有梅,摽有梅，,,
国风·召南,摽有梅,其實三兮。,三,侵
国风·召南,摽有梅,求我庶士，,,
国风·召南,摽有梅,迨其今兮！○,今,侵
国风·召南,摽有梅,摽有梅，,,
国风·召南,摽有梅,頃筐塈之。,塈,物
国风·召南,摽有梅,求我庶士，,,
国风·召南,摽有梅,迨其謂之！○,謂,物
国风·召南,小星,嘒彼小星，,星,耕
国风·召南,小星,三五在東。,東,東
国风·召南,小星,肅肅宵征，,征,耕
国风·召南,小星,夙夜在公。,公,東
国风·召南,小星,寔命不同！○,同,東
国风·召南,小星,嘒彼小星，,星,耕
国风·召南,小星,維參與昴。,昴,幽
国风·召南,小星,肅肅宵征，,征,耕
国风·召南,小星,抱衾與裯。,裯,幽
国风·召南,小星,寔命不猶！○,猶,幽
国风·召南,江有汜,江有汜，,汜,之
国风·召南,江有汜,之子歸，,,
国风·召南,江有汜,不我以。,以,之
国风·召南,江有汜,不我以？,以,之
国风·召南,江有汜,其後也悔！○,悔,之
国风·召南,江有汜,江有渚，,渚,魚
国风·召南,江有汜,之子歸，,,
国风·召南,江有汜,不我與。,與,魚
国风·召南,江有汜,不我與？,與,魚
国风·召南,江有汜,其後也處！○,處,魚
国风·召南,江有汜,江有沱，,沱,歌
国风·召南,江有汜,之子歸，,,
国风·召南,江有汜,不我過。,過,歌
国风·召南,江有汜,不我過？,過,歌
国风·召南,江有汜,其嘯也歌！○,歌,歌
国风·召南,野有死麕,野有死麕，,麕,文
国风·召南,野有死麕,白茅苞之。,苞,幽
国风·召南,野有死麕,有女懷春，,春,文
国风·召南,野有死麕,吉士誘之。○,誘,幽
国风·召南,野有死麕,林有樸樕，,樕,屋
国风·召南,野有死麕,野有死鹿，,鹿,屋
国风·召南,野有死麕,白茅純束。,束,屋
国风·召南,野有死麕,有女如玉！○,玉,屋
国风·召南,野有死麕,舒而脫脫兮！,脫,月
国风·召南,野有死麕,無感我帨兮！,帨,月
国风·召南,野有死麕,無使尨也吠！○,吠,月
国风·召南,何彼襛矣,何彼襛矣？,,
国风·召南,何彼襛矣,唐棣之華。,華,魚
国风·召南,何彼襛矣,曷不肅雝，,,
国风·召南,何彼襛矣,王姬之車！○,車,魚
国风·召南,何彼襛矣,何彼襛矣？,,
国风·召南,何彼襛矣,華如桃李。,李,之
国风·召南,何彼襛矣,平王之孫，,,
国风·召南,何彼襛矣,齊侯之子！○,子,之
国风·召南,何彼襛矣,其釣維何？,,
国风·召南,何彼襛矣,維絲伊緡。,緡,文
国风·召南,何彼襛矣,齊侯之子，,,
国风·召南,何彼襛矣,平王之孫！○,孫,文
国风·召南,騶虞,彼茁者葭，,葭,魚
国风·召南,騶虞,壹發五豝。,豝,魚
国风·召南,騶虞,于嗟乎騶虞！○,虞,魚
国风·召南,騶虞,彼茁者蓬，,蓬,東
国风·召南,騶虞,壹發五豵。,豵,東
国风·召南,騶虞,于嗟乎騶虞！○,虞,魚
国风·邶风,柏舟,汎彼柏舟，,舟,幽
国风·邶风,柏舟,亦汎其流。,流,幽
国风·邶风,柏舟,耿耿不寐，,,
国风·邶风,柏舟,如有隱憂。,憂,幽
国风·邶风,柏舟,微我無酒，,,
国风·邶风,柏舟,以敖以遊！○,遊,幽
国风·邶风,柏舟,我心匪鑒，,,
国风·邶风,柏舟,不可以茹。,茹,魚
国风·邶风,柏舟,亦有兄弟，,,
国风·邶风,柏舟,不可以據。,據,魚
国风·邶风,柏舟,薄言往愬，,愬,鐸
国风·邶风,柏舟,逢彼之怒。○,怒,魚
国风·邶风,柏舟,我心匪石，,石,鐸
国风·邶风,柏舟,不可轉也！,轉,元
国风·邶风,柏舟,我心匪席，,席,鐸
国风·邶风,柏舟,不可卷也！,卷,元
国风·邶风,柏舟,威儀棣棣，,,
国风·邶风,柏舟,不可選也！○,選,元
国风·邶风,柏舟,憂心悄悄，,悄,宵
国风·邶风,柏舟,慍于群小。,小,宵
国风·邶风,柏舟,覯閔既多，,,
国风·邶风,柏舟,受侮不少。,少,宵
国风·邶风,柏舟,靜言思之，,,
国风·邶风,柏舟,寤辟有摽！○,摽,宵
国风·邶风,柏舟,日居月諸！,,
国风·邶风,柏舟,胡迭而微？,微,微
国风·邶风,柏舟,心之憂矣，,,
国风·邶风,柏舟,如匪澣衣！,衣,微
国风·邶风,柏舟,靜言思之，,,
国风·邶风,柏舟,不能奮飛！○,飛,微
国风·邶风,綠衣,綠兮衣兮，,,
国风·邶风,綠衣,綠衣黃裏。,裏,之
国风·邶风,綠衣,心之憂矣，,,
国风·邶风,綠衣,曷維其已？○,已,之
国风·邶风,綠衣,綠兮衣兮，,,
国风·邶风,綠衣,綠衣黃裳。,裳,陽
国风·邶风,綠衣,心之憂矣，,,
国风·邶风,綠衣,曷維其亡？○,亡,陽
国风·邶风,綠衣,綠兮絲兮，,絲,之
国风·邶风,綠衣,女所治兮。,治,之
国风·邶风,綠衣,我思古人，,,
国风·邶风,綠衣,俾無訧兮！○,訧,之
国风·邶风,綠衣,絺兮綌兮，,,
国风·邶风,綠衣,淒其以風。,風,侵
国风·邶风,綠衣,我思古人，,,
国风·邶风,綠衣,實獲我心！○,心,侵
国风·邶风,燕燕,燕燕于飛，,飛,微
国风·邶风,燕燕,差池其羽。,羽,魚
国风·邶风,燕燕,之子于歸，,歸,微
国风·邶风,燕燕,遠送于野。,野,魚
国风·邶风,燕燕,瞻望弗及，,,
国风·邶风,燕燕,泣涕如雨！○,雨,魚
国风·邶风,燕燕,燕燕于飛，,飛,微
国风·邶风,燕燕,頡之頏之。,頏,陽
国风·邶风,燕燕,之子于歸，,歸,微
国风·邶风,燕燕,遠于將之。,將,陽
国风·邶风,燕燕,瞻望弗及，,及,緝
国风·邶风,燕燕,佇立以泣！○,泣,緝
国风·邶风,燕燕,燕燕于飛，,飛,微
国风·邶风,燕燕,下上其音。,音,侵
国风·邶风,燕燕,之子于歸，,歸,微
国风·邶风,燕燕,遠送于南。,南,侵
国风·邶风,燕燕,瞻望弗及，,,
国风·邶风,燕燕,實勞我心！○,心,侵
国风·邶风,燕燕,仲氏任只！,,
国风·邶风,燕燕,其心塞淵。,淵,真
国风·邶风,燕燕,終溫且惠，,,
国风·邶风,燕燕,淑慎其身。,身,真
国风·邶风,燕燕,先君之思，,,
国风·邶风,燕燕,以勗寡人！○,人,真
国风·邶风,日月,日居月諸！,,
国风·邶风,日月,照臨下土。,土,魚
国风·邶风,日月,乃如之人兮！,,
国风·邶风,日月,逝不古處。,處,魚
国风·邶风,日月,胡能有定？,,
国风·邶风,日月,寧不我顧！○,顧,魚
国风·邶风,日月,日居月諸！,,
国风·邶风,日月,下土是冒。,冒,幽
国风·邶风,日月,乃如之人兮！,,
国风·邶风,日月,逝不相好。,好,幽
国风·邶风,日月,胡能有定？,,
国风·邶风,日月,寧不我報！○,報,幽
国风·邶风,日月,日居月諸！,,
国风·邶风,日月,出自東方。,方,陽
国风·邶风,日月,乃如之人兮！,,
国风·邶风,日月,德音無良。,良,陽
国风·邶风,日月,胡能有定？,,
国风·邶风,日月,俾也可忘！○,忘,陽
国风·邶风,日月,日居月諸！,,
国风·邶风,日月,東方自出。,出,物
国风·邶风,日月,父兮母兮！,,
国风·邶风,日月,畜我不卒。,卒,物
国风·邶风,日月,胡能有定？,,
国风·邶风,日月,報我不述！○,述,物
国风·邶风,終風,終風且暴，,暴,藥
国风·邶风,終風,顧我則笑。,笑,宵
国风·邶风,終風,謔浪笑敖，,敖,宵
国风·邶风,終風,中心是悼！○,悼,藥
国风·邶风,終風,終風且霾，,霾,之
国风·邶风,終風,惠然肯來。,來,之
国风·邶风,終風,莫往莫來，,來,之
国风·邶风,終風,悠悠我思！○,思,之
国风·邶风,終風,終風且曀，,曀,質
国风·邶风,終風,不日有曀。,曀,質
国风·邶风,終風,寤言不寐，,,
国风·邶风,終風,願言則嚏！○,嚏,質
国风·邶风,終風,曀曀其陰，,,
国风·邶风,終風,虺虺其雷。,雷,微
国风·邶风,終風,寤言不寐，,,
国风·邶风,終風,願言則懷！○,懷,微
国风·邶风,擊鼓,擊鼓其鏜！,鏜,陽
国风·邶风,擊鼓,踊躍用兵。,兵,陽
国风·邶风,擊鼓,土國城漕，,,
国风·邶风,擊鼓,我獨南行！○,行,陽
国风·邶风,擊鼓,從孫子仲，,仲,侵
国风·邶风,擊鼓,平陳與宋。,宋,侵
国风·邶风,擊鼓,不我以歸，,,
国风·邶风,擊鼓,憂心有忡！○,忡,侵
国风·邶风,擊鼓,爰居爰處，,處,魚
国风·邶风,擊鼓,爰喪其馬。,馬,魚
国风·邶风,擊鼓,于以求之？,,
国风·邶风,擊鼓,于林之下。○,下,魚
国风·邶风,擊鼓,死生契闊，,闊,月
国风·邶风,擊鼓,與子成說！,說,月
国风·邶风,擊鼓,執子之手，,手,幽
国风·邶风,擊鼓,與子偕老！○,老,幽
国风·邶风,擊鼓,于嗟闊兮，,闊,月
国风·邶风,擊鼓,不我活兮！,活,月
国风·邶风,擊鼓,于嗟洵兮，,洵,真
国风·邶风,擊鼓,不我信兮！○,信,真
国风·邶风,凱風,凱風自南，,南,侵
国风·邶风,凱風,吹彼棘心。,心,侵
国风·邶风,凱風,棘心夭夭，,夭,宵
国风·邶风,凱風,母氏劬勞！○,勞,宵
国风·邶风,凱風,凱風自南，,,
国风·邶风,凱風,吹彼棘薪。,薪,真
国风·邶风,凱風,母氏聖善，,,
国风·邶风,凱風,我無令人！○,人,真
国风·邶风,凱風,爰有寒泉，,,
国风·邶风,凱風,在浚之下。,下,魚
国风·邶风,凱風,有子七人，,,
国风·邶风,凱風,母氏勞苦！○,苦,魚
国风·邶风,凱風,睍睆黃鳥，,,
国风·邶风,凱風,載好其音。,音,侵
国风·邶风,凱風,有子七人，,,
国风·邶风,凱風,莫慰母心！○,心,侵
国风·邶风,雄雉,雄雉于飛，,,
国风·邶风,雄雉,泄泄其羽。,羽,魚
国风·邶风,雄雉,我之懷矣！,,
国风·邶风,雄雉,自詒伊阻！○,阻,魚
国风·邶风,雄雉,雄雉于飛，,,
国风·邶风,雄雉,下上其音。,音,侵
国风·邶风,雄雉,展矣君子！,,
国风·邶风,雄雉,實勞我心。○,心,侵
国风·邶风,雄雉,瞻彼日月，,,
国风·邶风,雄雉,悠悠我思。,思,之
国风·邶风,雄雉,道之云遠，,,
国风·邶风,雄雉,曷云能來？○,來,之
国风·邶风,雄雉,百爾君子，,,
国风·邶风,雄雉,不知德行？,行,陽
国风·邶风,雄雉,不忮不求，,,
国风·邶风,雄雉,何用不臧！○,臧,陽
国风·邶风,匏有苦葉,匏有苦葉，,葉,葉
国风·邶风,匏有苦葉,濟有深涉。,涉,葉
国风·邶风,匏有苦葉,深則厲，,厲,月
国风·邶风,匏有苦葉,淺則揭。○,揭,月
国风·邶风,匏有苦葉,有瀰濟盈，,盈,耕
国风·邶风,匏有苦葉,有鷕雉鳴。,鳴,耕
国风·邶风,匏有苦葉,濟盈不濡軌，,軌,幽
国风·邶风,匏有苦葉,雉鳴求其牡。○,牡,幽
国风·邶风,匏有苦葉,雝雝鳴雁，,雁,元
国风·邶风,匏有苦葉,旭日始旦。,旦,元
国风·邶风,匏有苦葉,士如歸妻，,,
国风·邶风,匏有苦葉,迨冰未泮。○,泮,元
国风·邶风,匏有苦葉,招招舟子！,子,之
国风·邶风,匏有苦葉,人涉卬否。,否,之
国风·邶风,匏有苦葉,人涉卬否？,否,之
国风·邶风,匏有苦葉,卬須我友！○,友,之
国风·邶风,穀風,習習谷風！,風,侵
国风·邶风,穀風,以陰以雨。,雨,魚
国风·邶风,穀風,黽勉同心，,心,侵
国风·邶风,穀風,不宜有怒。,怒,魚
国风·邶风,穀風,采葑采菲，,菲,微
国风·邶风,穀風,無以下體。,體,脂
国风·邶风,穀風,德音莫違，,違,微
国风·邶风,穀風,及爾同死！○,死,脂
国风·邶风,穀風,行道遲遲，,,
国风·邶风,穀風,中心有違。,違,微
国风·邶风,穀風,不遠伊邇，,,
国风·邶风,穀風,薄送我畿。,畿,微
国风·邶风,穀風,誰謂荼苦？,,
国风·邶风,穀風,其甘如薺。,薺,脂
国风·邶风,穀風,宴爾新昏，,,
国风·邶风,穀風,如兄如弟！○,弟,脂
国风·邶风,穀風,涇以渭濁，,,
国风·邶风,穀風,湜湜其止。,止,之
国风·邶风,穀風,宴爾新昏，,,
国风·邶风,穀風,不我屑以。,以,之
国风·邶风,穀風,毋逝我梁，,,
国风·邶风,穀風,毋發我笱。,笱,侯
国风·邶风,穀風,我躬不閱，,,
国风·邶风,穀風,遑恤我後！○,後,侯
国风·邶风,穀風,就其深矣，,,
国风·邶风,穀風,方之舟之。,舟,幽
国风·邶风,穀風,就其淺矣，,,
国风·邶风,穀風,泳之游之。,游,幽
国风·邶风,穀風,何有何亡，,,
国风·邶风,穀風,黽勉求之。,求,幽
国风·邶风,穀風,凡民有喪，,,
国风·邶风,穀風,匍匐救之。○,救,幽
国风·邶风,穀風,不我能慉，,,
国风·邶风,穀風,反以我爲讎。,讎,幽
国风·邶风,穀風,既阻我德，,,
国风·邶风,穀風,賈用不售。,售,幽
国风·邶风,穀風,昔育恐育鞫，,鞫,覺
国风·邶风,穀風,及爾顛覆。,覆,覺
国风·邶风,穀風,既生既育，,育,覺
国风·邶风,穀風,比予于毒！○,毒,覺
国风·邶风,穀風,我有旨蓄，,,
国风·邶风,穀風,亦以御冬。,冬,侵
国风·邶风,穀風,宴爾新昏，,,
国风·邶风,穀風,以我御窮。,窮,侵
国风·邶风,穀風,有洸有潰，,潰,物
国风·邶风,穀風,既詒我肄。,肄,質
国风·邶风,穀風,不念昔者，,,
国风·邶风,穀風,伊余來塈！○,塈,物
国风·邶风,式微,式微式微！,微,微
国风·邶风,式微,胡不歸？,歸,微
国风·邶风,式微,微君之故，,故,魚
国风·邶风,式微,胡爲乎中露？○,露,鐸
国风·邶风,式微,式微式微！,微,微
国风·邶风,式微,胡不歸？,歸,微
国风·邶风,式微,微君之躬，,躬,侵
国风·邶风,式微,胡爲乎泥中？○,中,侵
国风·邶风,旄丘,旄丘之葛兮，,葛,月
国风·邶风,旄丘,何誕之節兮？,節,質
国风·邶风,旄丘,叔兮伯兮，,,
国风·邶风,旄丘,何多日也？○,日,質
国风·邶风,旄丘,何其處也？,處,魚
国风·邶风,旄丘,必有與也。,與,魚
国风·邶风,旄丘,何其久也？,久,之
国风·邶风,旄丘,必有以也。○,以,之
国风·邶风,旄丘,狐裘蒙戎[尨茸]，,茸,東
国风·邶风,旄丘,匪車不東。,東,東
国风·邶风,旄丘,叔兮伯兮，,,
国风·邶风,旄丘,靡所與同。○,同,東
国风·邶风,旄丘,瑣兮尾兮，,,
国风·邶风,旄丘,流離之子！,子,之
国风·邶风,旄丘,叔兮伯兮，,,
国风·邶风,旄丘,褎如充耳！○,耳,之
国风·邶风,簡兮,簡兮簡兮！,,
